S.No.,Name,CMP Rs.,P/E,Div Yld %,ROCE %
1.0,Reliance Industr,2550.25,25.87,0.31,10.14
2.0,TCS,3302.25,28.68,1.45,59.11
3.0,HDFC Bank,1701.4,20.67,1.12,6.85
4.0,ICICI Bank,934.6,19.21,0.86,6.82
5.0,Hind. Unilever,2678.15,61.88,1.46,26.61
6.0,ITC,451.6,29.33,2.82,39.1
7.0,Infosys,1335.5,23.11,2.55,40.67
8.0,H D F C,2821.95,19.97,1.56,9.38
9.0,St Bk of India,572.85,9.18,1.97,5.21
10.0,Bharti Airtel,878.75,58.67,0.34,13.53
11.0,Bajaj Finance,7160.6,37.67,0.42,11.7
12.0,Life Insurance,632.25,10.99,0.47,148.72
13.0,Kotak Mah. Bank,1846.55,24.58,0.06,7.37
14.0,Larsen & Toubro,2475.55,33.49,0.97,12.54
15.0,Asian Paints,3362.05,78.02,0.76,35.23
16.0,HCL Technologies,1187.95,21.72,4.04,28.66
17.0,Axis Bank,987.45,13.19,0.1,6.54
18.0,Maruti Suzuki,9789.05,36.01,0.92,17.69
19.0,Adani Enterp.,2388.05,102.19,0.05,10.09
20.0,Titan Company,3047.65,83.25,0.33,25.12
21.0,Avenue Super.,3889.2,106.35,0.0,20.15
22.0,Sun Pharma.Inds.,1051.6,29.24,0.95,17.39
23.0,Bajaj Finserv,1528.0,37.93,0.05,12.61
24.0,UltraTech Cem.,8294.75,47.29,0.46,12.65
25.0,Nestle India,22894.3,86.85,0.96,137.75
26.0,Tata Motors,595.55,84.54,0.34,6.14
27.0,Wipro,389.15,18.82,1.54,17.71
28.0,O N G C,160.3,5.21,6.71,14.69
29.0,JSW Steel,784.8,51.18,0.43,8.37
30.0,NTPC,189.15,10.84,3.7,9.81
31.0,M & M,1453.6,19.29,1.12,13.64
32.0,Power Grid Corpn,255.15,11.54,4.61,13.0
33.0,Adani Ports,739.25,25.18,0.68,9.91
34.0,LTIMindtree,5197.2,34.88,1.15,37.74
35.0,Adani Green,945.9,132.34,0.0,7.81
36.0,Coal India,231.0,5.06,8.77,71.48
37.0,HDFC Life Insur.,651.2,102.31,0.29,9.56
38.0,Tata Steel,112.0,17.3,3.21,12.79
39.0,Siemens,3766.45,81.72,0.27,15.41
40.0,Bajaj Auto,4691.55,21.91,2.98,26.51
41.0,Pidilite Inds.,2597.1,103.68,0.39,24.56
42.0,SBI Life Insuran,1306.9,76.03,0.19,15.47
43.0,Hindustan Zinc,307.35,12.34,24.56,50.46
44.0,I O C L,91.3,13.17,9.2,8.15
45.0,Hind.Aeronautics,3792.5,21.82,1.32,30.6
46.0,DLF,490.55,59.7,0.61,4.65
47.0,Britannia Inds.,5024.55,59.62,1.43,48.85
48.0,Grasim Inds,1734.65,16.63,0.29,12.56
49.0,Godrej Consumer,1081.0,63.33,0.0,16.77
50.0,Tech Mahindra,1130.85,22.82,2.83,22.49
51.0,IndusInd Bank,1374.65,14.43,1.02,7.37
52.0,Varun Beverages,802.55,62.35,0.06,27.77
53.0,Vedanta,277.95,9.68,36.52,23.76
54.0,Dabur India,572.95,59.68,0.91,23.49
55.0,Bank of Baroda,190.35,6.61,2.89,5.17
56.0,Eicher Motors,3580.1,33.6,0.59,27.35
57.0,Adani Power,249.85,8.95,0.0,15.8
58.0,Divi's Lab.,3583.6,52.17,0.84,19.34
59.0,Hindalco Inds.,420.95,9.4,0.95,11.1
60.0,Cholaman.Inv.&Fn,1142.0,35.23,0.18,9.71
61.0,A B B,4423.0,108.12,0.12,23.03
62.0,Bharat Electron,125.75,30.8,1.19,30.06
63.0,Shree Cement,23886.45,64.89,0.42,9.01
64.0,Dr Reddy's Labs,5159.6,19.06,0.78,26.22
65.0,Adani Transmissi,767.25,68.12,0.0,10.48
66.0,Ambuja Cements,425.9,30.21,0.59,16.0
67.0,ICICI Pru Life,572.5,101.24,0.1,10.02
68.0,Cipla,1014.95,28.0,0.84,18.78
69.0,Havells India,1282.8,75.0,0.58,22.31
70.0,SBI Cards,847.2,35.49,0.3,13.05
71.0,Tata Consumer,860.9,74.19,0.98,9.86
72.0,B P C L,364.7,23.46,4.39,6.86
73.0,Bajaj Holdings,7004.55,16.07,1.76,11.51
74.0,Apollo Hospitals,5098.2,89.5,0.29,14.65
75.0,Adani Total Gas,654.6,131.84,0.04,20.74
76.0,Tata Power Co.,221.85,21.94,0.9,12.42
77.0,GAIL (India),105.05,12.34,6.35,9.77
78.0,Marico,530.95,52.74,1.74,43.7
79.0,Mankind Pharma,1706.8,54.77,0.0,21.87
80.0,SRF,2289.45,31.45,0.31,22.37
81.0,United Spirits,912.2,68.24,0.0,20.54
82.0,ICICI Lombard,1344.45,38.13,0.74,22.05
83.0,Berger Paints,678.1,76.65,0.46,23.75
84.0,Macrotech Devel.,679.8,47.66,0.0,9.3
85.0,Shriram Finance,1735.2,10.81,2.02,12.14
86.0,Torrent Pharma.,1904.95,51.78,1.15,20.2
87.0,TVS Motor Co.,1325.65,49.61,0.38,13.48
88.0,Trent,1764.15,211.83,0.12,11.59
89.0,Tube Investments,3174.9,73.96,0.11,37.49
90.0,IDBI Bank,55.35,16.05,1.81,4.26
91.0,P I Industries,3921.75,48.39,0.25,21.66
92.0,Jindal Steel,581.05,18.08,0.52,14.47
93.0,Zydus Lifesci.,583.05,24.8,1.03,16.65
94.0,Max Healthcare,599.45,52.77,0.0,15.01
95.0,Hero Motocorp,2910.1,20.77,3.44,23.57
96.0,Samvardh. Mothe.,85.7,37.47,0.51,9.26
97.0,Info Edg.(India),4483.65,274.71,0.42,4.27
98.0,CG Power & Indu.,378.5,76.57,0.4,61.18
99.0,Power Fin.Corpn.,215.9,3.59,6.14,9.38
100.0,Punjab Natl.Bank,51.65,17.0,1.26,4.11
101.0,Bosch,19042.35,39.43,2.52,17.36
102.0,Indian Hotels Co,392.5,58.26,0.25,13.29
103.0,Canara Bank,301.85,5.0,3.98,5.33
104.0,Cummins India,1943.1,47.22,1.29,27.66
105.0,Adani Wilmar,409.95,87.45,0.0,15.37
106.0,Astral,1982.55,119.34,0.11,25.11
107.0,Polycab India,3551.15,43.83,0.56,27.11
108.0,IDFC First Bank,79.4,21.17,0.0,7.47
109.0,UPL,687.55,14.07,1.45,15.75
110.0,I R C T C,635.1,51.51,0.55,58.99
111.0,AU Small Finance,753.65,35.2,0.13,8.54
112.0,Abbott India,23419.15,52.42,0.77,41.12
113.0,Muthoot Finance,1239.65,14.33,1.77,12.04
114.0,Union Bank (I),72.25,5.8,4.15,5.2
115.0,Ashok Leyland,167.4,41.2,1.55,12.0
116.0,HDFC AMC,2295.65,34.41,2.09,32.31
117.0,Aditya Birla Cap,196.3,19.43,0.0,8.51
118.0,Schaeffler India,3097.55,55.0,0.77,28.98
119.0,Tata Elxsi,7588.5,62.43,0.8,47.74
120.0,Yes Bank,16.25,63.5,0.0,5.21
121.0,P & G Hygiene,14324.45,81.65,0.56,109.98
122.0,NHPC Ltd,45.95,11.87,3.94,8.92
123.0,I O B,24.4,21.99,0.0,4.53
124.0,Colgate-Palmoliv,1688.1,43.51,2.37,79.13
125.0,Balkrishna Inds,2370.4,43.34,0.67,14.56
126.0,Tata Comm,1594.65,26.26,1.32,23.96
127.0,JSW Energy,272.75,34.46,0.73,7.29
128.0,Indus Towers,164.25,20.4,6.7,11.45
129.0,Godrej Propert.,1568.45,76.32,0.0,6.56
130.0,REC Ltd,164.65,3.88,7.65,9.14
131.0,Patanjali Foods,1188.7,48.54,0.42,13.4
132.0,MRF,101260.5,55.84,0.17,7.94
133.0,I R F C,32.7,6.74,4.28,5.32
134.0,Aurobindo Pharma,727.35,22.11,1.24,9.25
135.0,FSN E-Commerce,148.6,2200.98,0.0,5.5
136.0,Alkem Lab,3512.85,39.56,0.71,13.87
137.0,Page Industries,37647.2,73.48,0.98,53.72
138.0,L&T Technology,3936.1,36.49,1.14,32.75
139.0,M & M Fin. Serv.,336.45,19.68,1.78,8.89
140.0,Lupin,902.75,95.52,0.44,5.95
141.0,Supreme Inds.,3197.7,47.02,0.81,26.79
142.0,Dalmia BharatLtd,2166.2,36.8,0.42,8.52
143.0,Container Corpn.,661.8,34.36,1.36,13.67
144.0,United Breweries,1511.95,118.61,0.5,11.48
145.0,Bandhan Bank,242.05,17.77,0.0,7.14
146.0,Bharat Forge,836.8,73.19,0.84,8.82
147.0,Persistent Sys,5011.05,41.25,0.8,30.3
148.0,Honeywell Auto,41679.05,84.12,0.22,19.46
149.0,Linde India,4316.55,78.0,0.1,16.63
150.0,Indian Bank,292.55,6.54,2.94,4.55
151.0,APL Apollo Tubes,1305.3,56.4,0.27,27.67
152.0,Oberoi Realty,984.8,19.07,0.41,16.03
153.0,Mphasis,1895.05,21.97,2.64,28.9
154.0,S A I L,85.5,17.81,10.23,5.95
155.0,ACC,1813.7,33.92,0.51,10.04
156.0,Star Health Insu,585.1,55.02,0.0,13.33
157.0,Solar Industries,3740.3,44.83,0.21,35.98
158.0,Petronet LNG,222.7,10.31,2.02,26.55
159.0,Oracle Fin.Serv.,3858.65,18.48,5.83,35.11
160.0,Uno Minda,581.8,51.01,0.21,19.35
161.0,Indraprastha Gas,473.35,22.93,2.75,27.28
162.0,Jubilant Food.,501.25,93.69,0.24,15.97
163.0,UCO Bank,27.4,17.59,0.0,4.75
164.0,Gujarat Fluoroch,2932.35,24.35,0.14,29.6
165.0,General Insuranc,182.65,5.08,3.94,20.59
166.0,Gujarat Gas,465.05,20.95,0.43,30.85
167.0,Biocon,265.5,52.0,0.56,6.5
168.0,L&T Fin.Holdings,127.7,23.78,1.57,7.56
169.0,Syngene Intl.,765.05,66.23,0.07,14.6
170.0,NMDC,104.65,6.52,14.09,21.08
171.0,B H E L,87.65,63.93,0.46,3.15
172.0,3M India,27012.7,67.5,0.37,31.42
173.0,Bank of India,73.6,8.15,2.72,4.42
174.0,Sona BLW Precis.,515.85,76.96,0.54,22.05
175.0,AIA Engineering,3200.45,28.59,0.5,25.22
176.0,Vedant Fashions,1239.0,70.1,0.4,39.76
177.0,KPIT Technologi.,1089.8,78.01,0.28,30.6
178.0,Escorts Kubota,2248.4,43.92,0.31,11.31
179.0,Deepak Nitrite,2173.75,34.8,0.32,29.95
180.0,Torrent Power,615.25,13.97,2.11,19.0
181.0,Sundaram Finance,2610.0,22.05,1.03,8.42
182.0,Coforge,4711.3,39.4,1.36,31.61
183.0,CRISIL,3902.95,48.48,1.23,41.06
184.0,F A C T,434.4,45.86,0.0,33.46
185.0,Max Financial,810.85,73.94,0.0,13.29
186.0,Phoenix Mills,1563.35,32.73,0.15,12.13
187.0,Coromandel Inter,948.4,13.85,1.27,38.41
188.0,Embassy Off.REIT,291.66,55.83,3.74,4.2
189.0,Jindal Stain.,330.4,13.06,0.0,25.53
190.0,Thermax,2281.75,60.38,0.44,14.97
191.0,Federal Bank,126.15,8.44,1.43,6.46
192.0,Oil India,244.95,3.04,5.92,26.86
193.0,Poonawalla Fin,340.9,46.48,0.59,7.85
194.0,Dixon Technolog.,4388.6,102.47,0.05,25.75
195.0,J K Cements,3381.9,62.35,0.44,10.24
196.0,Apollo Tyres,406.7,23.76,0.98,10.18
197.0,Timken India,3423.55,65.9,0.04,28.02
198.0,Sundram Fasten.,1216.95,52.28,0.54,19.41
199.0,Tata Chemicals,1001.4,11.24,1.75,12.04
200.0,Motherson Wiring,57.7,52.38,1.05,43.87
201.0,Metro Brands,936.5,70.41,0.27,24.83
202.0,Rail Vikas,121.9,17.89,1.5,17.75
203.0,Grindwell Norton,2280.45,69.84,0.64,28.7
204.0,Central Bank,29.05,15.01,0.0,4.29
205.0,Voltas,759.75,103.76,0.56,9.74
206.0,Mazagon Dock,1246.4,23.43,0.73,38.2
207.0,SKF India,4976.85,46.88,0.8,34.5
208.0,Kansai Nerolac,450.45,52.45,0.4,14.54
209.0,Glaxosmi. Pharma,1425.1,40.94,2.25,36.41
210.0,Fortis Health.,315.05,44.42,0.0,11.14
211.0,ZF Commercial,12162.45,72.59,0.11,18.85
212.0,Prestige Estates,574.85,31.28,0.26,10.66
213.0,Carborundum Uni.,1197.9,57.23,0.29,20.29
214.0,K P R Mill Ltd,664.6,27.9,0.6,24.67
215.0,Devyani Intl.,188.35,80.96,0.0,18.39
216.0,Relaxo Footwear,909.0,146.49,0.28,11.6
217.0,Piramal Enterp.,942.3,11.82,3.29,2.23
218.0,Navin Fluo.Intl.,4502.0,59.49,0.16,20.89
219.0,Endurance Tech.,1579.5,45.58,0.44,14.23
220.0,The Ramco Cement,924.25,63.57,0.22,6.56
221.0,Sumitomo Chemi.,436.3,43.26,0.23,30.2
222.0,Pun. & Sind Bank,31.95,16.51,1.5,5.26
223.0,LIC Housing Fin.,392.2,7.46,2.17,7.57
224.0,Bata India,1675.5,66.67,0.81,19.23
225.0,KEI Industries,2315.6,43.75,0.13,25.82
226.0,Atul,6995.25,40.75,0.36,14.97
227.0,Bharat Dynamics,1120.25,58.3,0.74,15.54
228.0,Hatsun Agro,921.6,123.77,0.65,11.16
229.0,Narayana Hrudaya,993.25,33.48,0.25,31.41
230.0,Exide Inds.,236.7,24.46,0.84,10.62
231.0,Kajaria Ceramics,1257.6,57.16,0.87,20.26
232.0,Laurus Labs,366.65,25.97,0.55,22.15
233.0,Bayer Crop Sci.,4380.95,29.01,2.28,33.67
234.0,ICICI Securities,608.45,17.58,3.94,18.08
235.0,CreditAcc. Gram.,1247.65,23.6,0.0,12.94
236.0,Bank of Maha,28.9,7.47,4.5,4.44
237.0,New India Assura,116.95,18.39,1.65,4.86
238.0,IIFL Finance,505.65,12.83,0.79,11.65
239.0,Glenmark Pharma.,676.0,37.64,0.37,14.61
240.0,Ajanta Pharma,1479.15,31.9,0.47,22.61
241.0,Five-Star Bus.Fi,647.75,31.28,0.0,14.42
242.0,Ipca Labs.,742.85,39.99,0.54,11.61
243.0,Dr Lal Pathlabs,2259.4,78.88,0.53,18.49
244.0,Suzlon Energy,15.3,111.47,0.0,20.61
245.0,Vinati Organics,1822.95,40.91,0.36,30.3
246.0,Emami,424.7,29.86,1.88,28.49
247.0,Whirlpool India,1474.15,85.39,0.34,8.87
248.0,Crompton Gr. Con,289.55,39.99,1.04,18.49
249.0,Mindspace Busine,309.1,55.67,,5.95
250.0,J B Chem & Pharm,2366.95,44.71,0.75,22.63
251.0,Aarti Industries,503.6,33.5,0.69,9.54
252.0,Nippon Life Ind.,288.15,24.83,3.99,26.64
253.0,Global Health,659.25,54.24,0.0,16.8
254.0,Hitachi Energy,4157.85,187.66,0.07,11.9
255.0,Lloyds Metals,395.7,19.43,0.13,83.07
256.0,Gland Pharma,1062.5,21.41,0.0,14.71
257.0,Godrej Industrie,517.85,17.88,0.0,10.64
258.0,Sun TV Network,439.25,10.14,3.41,26.02
259.0,Pfizer,3777.15,28.75,0.93,26.15
260.0,Indiamart Inter.,2814.2,62.54,0.36,17.47
261.0,Blue Dart Expres,7245.55,46.4,0.41,27.14
262.0,Elgi Equipments,541.6,46.29,0.37,31.04
263.0,Zee Entertainmen,177.35,223.09,1.69,7.96
264.0,Trident,33.2,38.31,1.08,11.89
265.0,Chola Financial,898.65,13.08,0.06,10.63
266.0,Cyient,1500.7,30.32,1.73,19.77
267.0,Gillette India,5074.95,49.89,0.71,51.17
268.0,I D F C,102.7,24.4,0.97,10.38
269.0,360 ONE,455.0,24.68,3.79,13.37
270.0,IRB Infra.Devl.,26.85,22.52,0.74,8.73
271.0,Rajesh Exports,547.4,11.28,0.18,10.3
272.0,Radico Khaitan,1208.6,79.03,0.25,11.66
273.0,SJVN,40.9,11.62,4.16,9.05
274.0,Guj.St.Petronet,284.45,9.78,0.7,35.05
275.0,Ratnamani Metals,2272.2,31.2,0.53,27.63
276.0,Sanofi India,6912.3,28.92,2.81,41.36
277.0,JBM Auto,1337.25,127.12,0.07,11.77
278.0,Capri Global,765.95,77.12,0.07,8.98
279.0,Kalyan Jewellers,147.05,33.2,0.0,12.02
280.0,Natl. Aluminium,82.05,9.76,7.92,15.15
281.0,NLC India,108.45,10.71,2.77,8.35
282.0,Fine Organic,4888.15,24.25,0.18,65.36
283.0,Clean Science,1396.0,50.24,0.36,44.46
284.0,Blue Star,767.1,53.29,1.56,24.65
285.0,PNB Housing,567.4,13.94,0.0,8.27
286.0,Century Plyboard,661.8,38.36,0.23,26.22
287.0,Bajaj Electrical,1271.35,63.49,0.31,18.66
288.0,Affle India,1096.3,59.73,0.0,20.22
289.0,Redington,186.0,10.44,3.87,24.97
290.0,Angel One,1718.8,16.32,2.32,43.95
291.0,Happiest Minds,978.5,66.41,0.55,27.37
292.0,Krishna Institu.,1787.5,43.88,0.0,25.08
293.0,K E C Intl.,551.15,80.49,0.73,10.11
294.0,Sonata Software,1009.45,31.32,1.56,39.1
295.0,DCM Shriram,902.75,15.46,1.55,19.57
296.0,Aster DM Health.,280.2,32.94,0.0,9.09
297.0,Alkyl Amines,2725.35,60.13,0.37,27.87
298.0,Tanla Platforms,1022.85,30.71,0.59,37.77
299.0,Lak. Mach. Works,12669.1,35.24,0.78,23.99
300.0,M R P L,77.05,5.12,0.0,19.98
301.0,Westlife Food,855.85,119.61,0.0,14.74
302.0,Aether Industri.,1067.9,102.45,0.0,18.44
303.0,Apar Inds.,3470.05,20.82,0.43,49.92
304.0,Brigade Enterpr.,575.2,65.88,0.26,8.5
305.0,EIH,212.0,35.6,0.52,15.98
306.0,RHI Magnesita,645.8,113.8,0.39,10.9
307.0,Finolex Cables,858.75,26.18,0.7,18.5
308.0,Triveni Turbine,406.75,67.15,0.31,31.66
309.0,Natco Pharma,693.2,17.69,0.79,18.03
310.0,Nuvoco Vistas,351.05,29.86,0.0,1.94
311.0,Alembic Pharma,636.4,36.16,1.26,7.4
312.0,G R Infraproject,1281.4,8.52,0.0,21.72
313.0,Suven Pharma,485.85,30.07,0.41,32.96
314.0,Aptus Value Hou.,248.25,24.58,1.61,14.55
315.0,V-Guard Industri,282.5,68.3,0.46,14.47
316.0,AAVAS Financiers,1536.95,28.28,0.0,9.51
317.0,Castrol India,120.8,15.14,5.38,60.76
318.0,Tata Inv.Corpn.,2342.75,47.08,2.05,1.42
319.0,Asahi India Glas,487.4,32.76,0.41,20.63
320.0,Sheela Foam,1211.15,62.98,0.0,13.64
321.0,Amara Raja Batt.,681.2,15.95,0.9,20.18
322.0,C D S L,1110.75,42.06,1.35,31.64
323.0,H U D C O,57.05,6.71,6.13,8.81
324.0,BASF India,2623.4,29.01,0.3,20.59
325.0,Chambal Fert.,272.65,10.98,2.75,16.41
326.0,Indian Energy Ex,127.1,38.72,0.79,51.79
327.0,Raymond,1694.05,18.74,0.18,21.73
328.0,Aegis Logistics,321.0,24.34,1.79,17.3
329.0,Hindustan Copper,116.05,38.0,1.0,18.02
330.0,Manappuram Fin.,132.35,7.49,2.27,11.75
331.0,Akzo Nobel,2432.85,33.06,2.67,34.63
332.0,Anupam Rasayan,1030.0,65.68,0.24,10.59
333.0,Poly Medicure,1149.9,61.56,0.22,18.91
334.0,RBL Bank,181.95,12.36,0.0,5.7
335.0,Finolex Inds.,175.8,46.1,1.14,6.83
336.0,Cams Services,2198.55,37.86,1.72,50.66
337.0,Eureka Forbes,557.0,235.81,0.0,2.31
338.0,Motil.Oswal.Fin.,728.0,11.56,1.37,12.96
339.0,Aditya AMC,372.35,17.98,3.08,33.13
340.0,GE Shipping Co,742.5,4.31,3.88,20.87
341.0,Vardhman Textile,366.45,13.32,1.86,11.66
342.0,Data Pattern,1868.2,84.35,0.24,19.69
343.0,Bikaji Foods,417.8,81.65,0.18,17.63
344.0,TTK Prestige,750.0,39.96,0.8,19.16
345.0,Mahanagar Gas,1048.5,13.11,2.38,26.79
346.0,Can Fin Homes,777.35,16.66,0.45,8.36
347.0,Equitas Sma. Fin,90.1,17.49,1.11,9.24
348.0,Karur Vysya Bank,124.65,9.04,1.28,5.93
349.0,UTI AMC,785.05,23.49,2.67,17.35
350.0,Cera Sanitary.,7660.9,46.94,0.65,25.8
351.0,Route Mobile,1593.1,30.42,0.56,22.03
352.0,Birlasoft Ltd,358.9,29.78,0.98,17.54
353.0,Rainbow Child.,961.1,46.28,0.31,24.17
354.0,India Grid Trust,138.08,21.22,,7.89
355.0,Century Textiles,861.5,54.32,0.58,6.52
356.0,Birla Corpn.,1240.2,278.85,0.81,3.6
357.0,CESC,71.95,7.1,6.25,11.3
358.0,ERIS Lifescience,698.9,25.4,1.05,17.01
359.0,National Standar,4751.45,1151.87,0.0,5.02
360.0,Campus Activewe.,310.0,80.73,0.0,23.11
361.0,Zydus Wellness,1484.05,29.47,0.34,5.95
362.0,Sundaram Clayton,4664.7,15.15,1.26,13.21
363.0,City Union Bank,127.3,10.05,0.79,6.26
364.0,Galaxy Surfact.,2649.95,24.66,0.68,23.53
365.0,G N F C,599.15,6.36,1.67,22.91
366.0,Welspun India,92.45,46.72,0.11,6.25
367.0,Astrazeneca Phar,3707.5,72.4,0.27,31.36
368.0,Medplus Health,774.9,185.79,0.0,5.63
369.0,Shyam Metalics,358.85,10.79,0.5,15.44
370.0,Ingersoll-Rand,2859.2,49.42,0.7,43.55
371.0,Brookfield India,267.28,68.25,,4.1
372.0,Shoppers Stop,816.65,76.24,0.0,15.52
373.0,HFCL,64.95,29.73,0.28,15.69
374.0,Firstsour.Solu.,127.3,17.4,2.75,14.5
375.0,Rites,371.95,16.49,4.57,30.47
376.0,CCL Products,664.45,32.87,0.75,15.77
377.0,Chalet Hotels,429.1,56.03,0.0,9.24
378.0,Godfrey Phillips,1685.6,12.69,1.66,22.83
379.0,Zensar Tech.,386.95,26.74,1.29,15.05
380.0,Kaynes Tech,1505.4,91.94,0.0,21.67
381.0,Sapphire Foods,1374.15,37.47,0.0,9.73
382.0,P & G Health Ltd,5254.7,36.22,1.0,38.23
383.0,Godrej Agrovet,453.7,29.52,2.09,12.49
384.0,Kalpataru Proj.,536.55,22.6,1.3,14.18
385.0,V I P Inds.,613.7,49.46,0.73,27.78
386.0,National High,119.45,33.78,,4.3
387.0,Intellect Design,628.6,32.02,0.4,18.73
388.0,BLS Internat.,207.9,42.05,0.24,32.19
389.0,Craftsman Auto,4026.6,35.82,0.28,20.76
390.0,JK Lakshmi Cem.,718.55,23.58,0.7,14.72
391.0,PNC Infratech,327.7,12.77,0.15,15.03
392.0,CEAT,2077.4,40.79,0.58,9.42
393.0,Supreme Petroch.,444.7,17.7,2.02,37.43
394.0,Usha Martin,270.4,23.53,0.74,21.34
395.0,BSE,608.55,40.03,2.22,12.13
396.0,EID Parry,462.4,8.81,2.38,39.45
397.0,Kama Holdings,12770.1,6.54,1.3,34.34
398.0,Jindal Saw,255.9,17.58,1.17,10.55
399.0,KRBL,340.45,11.43,1.03,20.88
400.0,Olectra Greentec,972.2,121.66,0.04,13.3
401.0,eClerx Services,1624.95,16.3,0.04,37.05
402.0,Jyothy Labs,215.85,36.1,1.39,17.89
403.0,Syrma SGS Tech.,447.9,66.36,0.0,14.81
404.0,Saregama India,408.0,41.67,0.74,18.16
405.0,Ircon Intl.,83.5,10.26,2.99,15.79
406.0,Graphite India,400.25,39.3,2.12,6.22
407.0,Balrampur Chini,384.65,27.34,0.65,10.44
408.0,NCC,122.1,12.38,1.8,20.18
409.0,Multi Comm. Exc.,1500.4,51.37,1.16,13.16
410.0,Metropolis Healt,1493.1,53.52,0.54,17.01
411.0,Amber Enterp.,2256.2,48.36,0.0,10.75
412.0,KSB,2157.8,41.0,0.7,23.15
413.0,Balaji Amines,2316.55,23.07,0.43,39.06
414.0,Godawari Power,528.55,9.26,0.76,28.07
415.0,Cochin Shipyard,565.8,25.81,2.96,8.5
416.0,Lemon Tree Hotel,93.7,64.8,0.0,11.87
417.0,Prince Pipes,671.25,61.12,0.52,12.37
418.0,Ujjivan Small,37.9,6.74,3.3,12.84
419.0,Granules India,296.9,14.27,0.51,19.39
420.0,Latent View,351.65,46.36,0.0,16.83
421.0,Mahindra Life.,465.6,195.77,0.49,2.35
