S.No.,Name,CMP Rs.,P/E,Div Yld %,ROCE %
422.0,Chemplast Sanmar,454.6,33.89,0.0,14.86
423.0,NBCC,39.6,20.01,1.26,26.2
424.0,Ramkrishna Forg.,444.7,28.72,0.45,18.48
425.0,Deepak Fertiliz.,562.7,5.87,1.78,26.27
426.0,Safari Inds.,2970.1,56.31,0.12,37.54
427.0,Easy Trip Plann.,40.5,47.95,0.15,54.57
428.0,JM Financial,73.45,11.74,2.45,9.42
429.0,Allcargo Logist.,284.15,11.56,1.14,19.71
430.0,Glenmark Life,569.15,14.93,3.69,29.86
431.0,Praj Industries,377.6,28.93,0.72,31.44
432.0,T N Merc. Bank,437.85,6.74,0.0,6.72
433.0,Home First Finan,784.0,30.26,0.33,10.34
434.0,Laxmi Organic,259.9,55.41,0.19,11.31
435.0,EPL Ltd,214.65,30.01,2.0,12.3
436.0,Welspun Corp,260.95,34.27,1.92,7.91
437.0,KNR Construct.,242.0,17.04,0.1,21.44
438.0,Indigo Paints,1428.9,51.54,0.24,21.69
439.0,Delta Corp,253.95,26.0,0.49,15.76
440.0,Jubilant Ingrev.,426.5,22.09,1.17,15.96
441.0,Minda Corp,282.5,23.74,0.42,16.39
442.0,BEML Ltd,1620.8,42.75,0.62,10.81
443.0,Jupiter Wagons,173.8,53.71,0.0,24.39
444.0,Quess Corp,449.9,36.2,1.78,9.74
445.0,GMM Pfaudler,1480.5,37.29,0.27,24.72
446.0,India Infr Trust,100.0,12.16,,8.29
447.0,Borosil Renew.,505.95,74.58,0.0,11.6
448.0,Archean Chemical,536.25,17.2,0.47,45.84
449.0,Garden Reach Sh.,575.3,28.89,1.01,20.81
450.0,Keystone Realtor,577.8,82.77,0.0,5.53
451.0,Elecon Engg.Co,584.35,27.46,0.34,24.9
452.0,Kirl. Ferrous,470.3,18.64,1.17,22.38
453.0,G S F C,163.9,5.05,1.53,13.39
454.0,C.E. Info System,1205.5,59.48,0.17,28.96
455.0,Engineers India,114.95,18.66,2.61,23.81
456.0,Tega Inds.,971.4,35.02,0.21,21.26
457.0,TV18 Broadcast,37.35,55.11,0.0,3.37
458.0,Mah. Seamless,476.35,8.35,0.52,20.42
459.0,Garware Tech.,3105.9,36.76,0.23,21.37
460.0,KFin Technolog.,370.75,32.18,0.0,29.32
461.0,VRL Logistics,713.05,37.92,1.12,17.81
462.0,Brightcom Group,31.2,4.59,0.96,30.91
463.0,Jindal Worldwide,313.9,54.39,0.03,15.7
464.0,HEG,1630.35,11.82,2.45,13.02
465.0,Symphony,897.4,54.12,1.0,14.68
466.0,Just Dial,738.7,38.52,0.0,5.38
467.0,Mah. Scooters,5479.8,32.07,2.92,0.92
468.0,Schneider Elect.,260.45,57.49,0.0,27.61
469.0,Triven.Engg.Ind.,283.1,11.66,1.15,17.52
470.0,PTC Industries,4602.15,306.4,0.0,10.63
471.0,SIS,421.75,17.91,0.0,10.55
472.0,PCBL Ltd,162.75,14.38,3.38,16.96
473.0,Go Fashion (I),1136.9,74.16,0.0,17.72
474.0,Caplin Point Lab,806.55,16.27,0.5,26.82
475.0,Esab India,3976.2,45.1,1.96,71.44
476.0,Rolex Rings,2225.1,30.59,0.0,31.79
477.0,ION Exchange,412.9,31.06,0.24,33.41
478.0,Mahindra Holiday,300.05,53.09,0.0,9.93
479.0,Titagarh Rail,503.8,44.74,0.0,17.59
480.0,TCI Express,1571.7,43.23,0.51,32.67
481.0,R C F,109.05,6.72,3.53,21.06
482.0,Guj Pipavav Port,122.8,17.42,4.97,19.58
483.0,Mastek,1943.5,21.38,0.98,25.4
484.0,Karnataka Bank,189.35,5.01,2.11,6.1
485.0,MTAR Technologie,1917.75,56.68,0.16,22.53
486.0,Action Const.Eq.,490.1,34.01,0.12,28.89
487.0,J & K Bank,60.65,4.94,0.0,5.11
488.0,JK Tyre & Indust,236.75,19.43,0.63,11.34
489.0,Sterlite Tech.,146.2,25.23,0.34,11.02
490.0,Himadri Special,132.7,24.49,0.19,13.7
491.0,Indiabulls Hous.,123.4,5.16,0.0,9.8
492.0,Hindustan Foods,515.85,81.77,0.0,18.19
493.0,Kennametal India,2645.95,59.83,0.91,25.1
494.0,C P C L,387.75,1.63,0.52,45.54
495.0,Authum Invest,338.7,88.89,0.0,
496.0,Anant Raj,177.35,38.6,0.28,5.82
497.0,Greenlam Industr,451.55,44.79,0.33,14.16
498.0,Star Cement,140.9,23.0,0.0,16.8
499.0,CMS Info Systems,367.95,20.63,0.0,26.4
500.0,Kirloskar Oil,392.0,17.11,1.02,13.73
501.0,Hinduja Global,1079.6,21.01,12.64,3.47
502.0,Suprajit Engg.,408.45,37.16,0.49,15.22
503.0,Bengal & Assam,4963.05,5.71,0.3,17.66
504.0,H.G. Infra Engg.,855.4,11.3,0.12,25.37
505.0,Transport Corp.,716.4,17.35,0.98,22.72
506.0,Fusion Microfin.,549.35,14.28,0.0,14.24
507.0,Rain Industries,163.2,4.33,0.61,17.41
508.0,Guj. Ambuja Exp,238.6,16.57,0.27,17.91
509.0,Mishra Dhatu Nig,291.95,35.09,1.06,14.99
510.0,JK Paper,320.25,4.45,1.72,29.34
511.0,VST Industries,3460.6,16.34,4.33,38.06
512.0,Avanti Feeds,392.05,18.59,1.59,22.12
513.0,G M D C,165.45,4.33,2.6,31.47
514.0,Sarda Energy,1467.75,8.59,0.51,19.81
515.0,ICRA,5341.65,38.12,0.75,20.06
516.0,Varroc Engineer,337.0,132.77,0.0,8.54
517.0,Paradeep Phospha,63.2,16.95,0.0,10.75
518.0,FDC,310.25,26.56,0.0,13.1
519.0,Orient Electric,239.4,67.34,0.63,19.23
520.0,Spandana Sphoort,719.1,413.65,0.0,5.95
521.0,ISGEC Heavy,693.6,25.96,0.29,10.53
522.0,Elantas Beck,6427.75,53.18,0.08,21.55
523.0,Sobha,537.0,48.88,0.56,8.25
524.0,JSW Holdings,4588.4,17.0,0.0,2.07
525.0,Vaibhav Global,307.7,48.38,1.95,11.13
526.0,Power Mech Proj.,3365.65,24.2,0.04,22.22
527.0,Sharda Cropchem,553.7,14.61,1.08,20.76
528.0,Gujarat Alkalies,678.0,8.65,1.47,13.14
529.0,R Systems Intl.,418.0,33.91,1.56,30.64
530.0,CSB Bank,284.25,9.01,0.0,6.92
531.0,GHCL,515.25,4.53,3.4,35.53
532.0,Vesuvius India,2399.55,35.68,0.34,16.66
533.0,Kirl. Brothers,610.3,20.37,0.74,21.92
534.0,Borosil,422.45,55.61,0.0,13.25
535.0,Vijaya Diagnost.,472.7,57.01,0.21,18.62
536.0,La Opala RG,432.25,39.01,0.53,22.32
537.0,Rossari Biotech,869.85,44.81,0.06,18.45
538.0,Nazara Technolo.,724.6,117.86,0.0,8.54
539.0,Newgen Software,678.7,28.16,0.74,23.95
540.0,Mrs Bectors,806.95,52.7,0.31,20.94
541.0,Arvind Fashions.,356.4,127.53,0.0,13.72
542.0,MMTC,31.55,15.34,0.0,22.95
543.0,Surya Roshni,866.9,14.07,0.46,22.81
544.0,Ujjivan Fin.Ser.,386.15,5.28,1.29,10.54
545.0,Edelweiss.Fin.,49.8,13.65,2.91,10.25
546.0,S C I,100.8,5.87,0.33,8.79
547.0,Ami Organics,1272.2,55.66,0.24,20.45
548.0,Tata Coffee,247.95,27.58,1.21,11.66
549.0,Sansera Enginee.,870.45,30.67,0.23,14.6
550.0,Meghmani Fineche,1107.0,13.02,0.45,32.07
551.0,L T Foods,131.7,11.36,0.76,17.67
552.0,Lux Industries,1508.85,33.01,0.8,12.72
553.0,Rategain Travel,417.85,66.17,0.0,10.08
554.0,NESCO,631.55,15.31,0.48,20.72
555.0,Nava,306.1,4.79,1.96,18.84
556.0,PDS,338.15,16.74,1.51,25.45
557.0,Health.Global,318.45,251.5,0.0,8.37
558.0,HLE Glascoat,648.6,81.36,0.15,17.7
559.0,Responsive Ind,162.95,180.92,0.06,4.62
560.0,Aarti Drugs,465.1,28.18,0.22,15.11
561.0,HBL Power System,155.0,44.1,0.26,13.6
562.0,Share India Sec.,1307.25,13.03,0.46,52.44
563.0,Team Lease Serv.,2493.15,37.55,0.0,14.82
564.0,MAS FINANC SER,777.45,20.91,0.47,11.46
565.0,Rajratan Global,836.45,42.42,0.24,27.04
566.0,Man Infra,114.0,16.37,0.79,33.59
567.0,Privi Speci.,1080.45,187.83,0.19,5.48
568.0,Infibeam Avenues,15.75,30.95,0.16,6.01
569.0,Kirl.Pneumatic,652.5,39.7,0.84,19.53
570.0,JP Power Ven.,6.15,73.87,0.0,5.16
571.0,Railtel Corpn.,130.75,22.02,1.84,16.34
572.0,Harsha Engg Intl,460.65,32.67,0.22,17.8
573.0,Gravita India,606.95,20.84,0.49,31.11
574.0,Shriram Pistons,1890.25,14.17,0.53,25.2
575.0,IRB InvIT Fund,71.2,11.18,,8.66
576.0,Marksans Pharma,91.2,15.58,0.55,22.46
577.0,Sunteck Realty,281.8,2927.5,0.53,2.56
578.0,Polyplex Corpn,1312.85,11.83,7.92,17.46
579.0,Volt.Transform.,4052.8,20.51,0.86,25.5
580.0,Indo Count Inds.,206.95,14.81,0.97,15.1
581.0,Tatva Chintan,1843.25,83.64,0.11,8.88
582.0,Greenpanel Inds.,332.6,16.12,0.45,27.17
583.0,Prudent Corp.,982.55,34.87,0.1,51.44
584.0,Ahluwalia Contr.,607.1,20.97,0.05,24.82
585.0,Jamna Auto Inds.,101.95,24.15,1.47,27.43
586.0,South Ind.Bank,19.3,5.21,0.0,5.42
587.0,Neogen Chemicals,1613.8,80.41,0.17,13.16
588.0,Techno Elec.Engg,364.0,43.24,0.55,7.93
589.0,Bharat Rasayan,9586.25,29.7,0.02,20.34
590.0,Hindware Home In,544.8,68.43,0.09,14.8
591.0,Heidelberg Cem.,171.95,39.29,4.07,10.67
592.0,Hikal,313.45,49.3,0.51,8.47
593.0,TD Power Systems,247.1,40.25,0.28,21.5
594.0,Sula Vineyards,457.5,43.43,1.15,19.92
595.0,Rallis India,197.1,41.64,1.52,7.77
596.0,DCB Bank,122.4,8.19,1.02,6.71
597.0,AGI Greenpac,577.3,15.01,0.87,14.76
598.0,NOCIL,221.15,24.71,1.36,13.5
599.0,Dhanuka Agritech,799.95,15.61,1.75,29.31
600.0,Nilkamal Ltd,2441.7,27.55,0.82,13.33
601.0,Neuland Labs.,2830.75,22.21,0.35,20.77
602.0,Globus Spirits,1259.9,29.7,0.48,18.51
603.0,Shanthi Gears,471.4,53.94,1.06,32.08
604.0,Anand Rathi Wea.,865.95,21.47,1.39,47.91
605.0,Gateway Distri,72.2,15.3,2.77,12.76
606.0,Force Motors,2733.85,114.58,0.37,4.69
607.0,Nirlon,399.4,22.79,6.51,22.37
608.0,Thomas Cook (I),76.4,518.79,0.52,5.17
609.0,Choice Intl.,360.95,59.8,0.0,15.84
610.0,PG Electroplast,1578.75,46.35,0.0,17.28
611.0,Avalon Tech,549.9,68.39,0.0,16.74
612.0,L G Balakrishnan,1142.6,15.14,1.4,24.27
613.0,Technocraf.Inds.,1558.7,13.58,0.0,19.91
614.0,Electrost.Cast.,59.85,11.27,1.34,9.93
615.0,Shivalik Bimetal,617.2,48.68,0.11,37.71
616.0,Tasty Bite Eat.,13612.75,115.62,0.01,13.71
617.0,Tinplate Co.,333.6,25.91,1.2,15.78
618.0,JTEKT India,142.75,41.74,0.28,16.65
619.0,Astra Microwave,367.2,49.93,0.38,17.04
620.0,Arvind Ltd,133.05,9.57,0.0,12.25
621.0,Dodla Dairy,584.0,28.96,0.0,16.21
622.0,Prime Focus,115.85,19.7,0.0,17.23
623.0,Bannari Amm.Sug.,2759.0,24.13,0.45,11.93
624.0,Natl.Fertilizer,70.15,7.55,2.18,14.92
625.0,Tips Industries,267.2,44.85,0.07,87.39
626.0,PTC India,115.2,7.65,6.77,9.82
627.0,Hawkins Cookers,6392.05,35.68,1.56,45.83
628.0,Dreamfolks Servi,646.5,46.56,0.0,79.39
629.0,IKIO Lighting,437.1,66.84,0.0,40.58
630.0,Ethos Ltd,1444.95,56.42,0.0,16.4
631.0,Aarti Pharma,370.95,17.38,0.0,16.12
632.0,Sudarshan Chem.,485.55,75.08,1.03,6.11
633.0,Automotive Axles,2223.15,20.73,0.67,30.87
634.0,eMudhra,429.85,54.98,0.29,24.04
635.0,Mold-Tek Pack.,1011.2,41.7,0.79,19.58
636.0,Fineotex Chem,300.95,37.74,0.13,37.3
637.0,Sandur Manganese,1232.4,12.29,0.41,18.85
638.0,Kewal Kir.Cloth.,539.6,27.88,2.04,27.86
639.0,Zen Technologies,417.9,79.97,0.02,23.89
640.0,MOIL,162.45,13.3,3.69,15.12
641.0,West Coast Paper,500.4,3.47,2.0,61.54
642.0,IFB Industries,812.7,191.01,0.0,6.36
643.0,Datamatics Glob.,558.2,17.75,0.67,24.77
644.0,Kirloskar Indus.,3317.65,14.62,0.3,20.03
645.0,Saksoft,308.4,39.76,0.23,28.42
646.0,Genus Power,126.45,93.12,0.2,6.13
647.0,Electronics Mart,83.7,26.22,0.0,12.02
648.0,Wonderla Holiday,568.4,21.6,0.0,22.67
649.0,Steel Str. Wheel,204.95,16.55,0.37,21.4
650.0,Tarsons Products,602.25,39.8,0.0,18.95
651.0,Greaves Cotton,134.75,40.46,0.15,10.45
652.0,Advanced Enzyme,279.4,29.28,1.43,12.28
653.0,Ganesh Housing,372.6,31.05,0.64,24.8
654.0,Va Tech Wabag,489.85,10.67,0.0,19.73
655.0,Welspun Enterp,201.8,12.76,0.5,10.14
656.0,JTL Industries,358.25,33.23,0.0,37.64
657.0,Somany Ceramics,710.05,44.14,0.42,10.44
658.0,Indoco Remedies,326.95,21.18,0.46,17.27
659.0,Dalmia Bharat,371.95,12.13,1.08,12.42
660.0,Uflex,414.2,5.08,0.72,10.36
661.0,Max Ventures,202.5,175.47,0.0,2.27
662.0,Jai Corp,166.65,167.45,0.3,3.87
663.0,KPI Green Energy,815.3,26.78,0.19,24.66
664.0,Gokaldas Exports,483.1,17.41,0.0,23.08
665.0,Bombay Super Hyb,277.95,173.82,0.0,22.17
666.0,Sunflag Iron,160.75,12.94,0.0,11.84
667.0,Nucleus Soft.,1073.4,25.68,0.93,27.11
668.0,Jindal Poly Film,654.7,8.65,0.76,12.45
669.0,Landmark Cars,711.9,31.77,0.0,20.05
670.0,Subros,438.0,59.63,0.23,8.91
671.0,Kaveri Seed Co.,509.85,10.49,0.78,21.61
672.0,Maithan Alloys,978.1,4.74,0.61,28.76
673.0,Divgi Torq,923.4,55.2,0.36,15.46
674.0,Gabriel India,196.05,21.28,0.79,21.97
675.0,ITD Cem,163.2,22.57,0.46,19.04
676.0,WPIL,2870.25,14.8,0.35,31.67
677.0,Bajaj Consumer,193.8,20.13,4.13,21.11
678.0,Sagar Cements,214.1,152.75,0.33,6.82
679.0,Pricol Ltd,229.3,23.82,0.0,20.19
680.0,I T D C,324.6,46.95,0.0,27.15
681.0,Navneet Educat.,122.45,17.32,1.22,19.06
682.0,Goodyear India,1197.35,22.48,2.21,25.13
683.0,Apollo Pipes,702.35,115.53,0.14,8.8
684.0,Mahindra Logis.,382.8,111.96,0.65,7.22
685.0,Apcotex Industri,531.4,25.56,1.04,28.0
686.0,Thyrocare Tech.,517.95,48.12,3.48,15.37
687.0,Orient Cement,133.35,22.24,1.12,11.96
688.0,Hind.Oil Explor.,206.1,13.23,0.0,20.42
689.0,Best Agrolife,1151.6,14.17,0.17,34.43
690.0,Stylam Industrie,1587.15,28.03,0.16,32.24
691.0,Dish TV India,14.6,12.0,0.0,32.62
692.0,Time Technoplast,118.85,12.27,0.84,13.36
693.0,Ramky Infra,385.6,34.29,0.0,16.76
694.0,Magellanic Cloud,226.95,35.8,0.06,32.91
695.0,Tilaknagar Inds.,142.5,36.6,0.07,15.55
696.0,Patel Engineerin,33.75,14.19,0.0,13.97
697.0,Astec Lifescienc,1327.85,101.81,0.11,7.75
698.0,Hathway Cable,14.7,36.58,0.0,2.38
699.0,M B Agro Prod.,592.6,20.9,0.04,37.76
700.0,Swaraj Engines,2131.4,19.38,4.32,55.41
701.0,Kolte Patil Dev.,338.65,25.12,0.59,13.44
702.0,Barbeque-Nation,660.3,177.55,0.0,8.99
703.0,PSP Projects,713.35,19.31,0.7,24.53
704.0,Dynamatic Tech.,3778.85,59.98,0.26,10.2
705.0,Camlin Fine,162.9,57.38,0.0,9.86
706.0,Grauer & Weil,111.95,22.36,0.71,23.58
707.0,Siyaram Silk,541.2,10.07,2.03,28.52
708.0,Texmaco Rail,78.55,97.96,0.13,6.18
709.0,Eveready Inds.,346.2,125.0,0.0,11.97
710.0,India Pesticides,218.2,17.39,0.34,27.85
711.0,Tata Metaliks,795.45,31.22,1.01,7.91
712.0,D B Corp,141.1,14.85,4.25,11.75
713.0,Uniparts India,554.15,12.21,2.57,31.61
714.0,Kingfa Science,2051.45,30.52,0.0,24.73
715.0,DCX Systems,255.65,34.55,0.0,13.12
716.0,VST Till. Tract.,2843.55,26.6,0.7,15.89
717.0,Kovai Medical,2243.45,21.2,0.22,16.35
718.0,IOL Chemicals,417.7,17.52,0.96,13.64
719.0,MSTC,347.0,10.1,3.72,37.95
720.0,Sadhana Nitro,123.9,767.0,0.12,4.8
721.0,SG Finserve,586.0,131.37,0.0,377.0
722.0,Lumax Auto Tech.,353.1,24.45,1.27,16.89
723.0,Cigniti Tech.,851.25,14.21,0.35,38.15
724.0,Paras Defence,613.25,66.56,0.0,12.91
725.0,Venky's (India),1696.55,33.91,0.77,7.75
726.0,Ganesha Ecosphe.,1080.7,33.96,0.19,10.79
727.0,Fiem Industries,1789.0,16.84,1.68,26.62
728.0,Waaree Renewab.,1127.0,42.4,0.04,84.06
729.0,Hil Ltd,3099.7,24.06,1.45,8.64
730.0,Lloyds Steels,23.6,59.65,0.21,29.2
731.0,Balmer Lawrie,136.35,13.91,4.77,10.38
732.0,Venus Pipes,1147.25,52.67,0.04,22.79
733.0,Sharda Motor,777.8,11.26,1.05,39.08
734.0,ISMT,76.35,25.07,0.0,11.21
735.0,Mayur Uniquoters,519.7,21.25,0.38,18.08
736.0,Paisalo Digital,50.75,23.53,0.2,11.39
737.0,J Kumar Infra,300.8,8.29,1.0,17.36
738.0,Meghmani Organi.,89.4,10.18,1.57,16.13
739.0,Confidence Petro,80.05,25.3,0.12,17.64
740.0,Gulf Oil Lubric.,463.45,9.78,1.08,23.48
741.0,Gufic BioScience,233.65,28.42,0.04,22.64
742.0,Cartrade Tech,482.5,69.34,0.0,2.38
743.0,Honda India,2229.1,23.45,0.74,18.83
744.0,Black Box,134.25,32.53,0.0,23.36
745.0,TVS Srichakra,2940.8,27.46,0.55,8.95
746.0,Ashoka Buildcon,79.85,5.38,0.0,40.65
747.0,M M Forgings,926.3,17.81,0.65,16.27
748.0,Jayaswal Neco,23.0,8.03,0.0,9.66
749.0,Aurionpro Sol.,975.5,22.77,0.26,25.68
750.0,Imagica. Enter.,45.75,6.08,0.0,34.81
751.0,Greenply Industr,178.5,26.36,0.28,11.63
752.0,Vindhya Telelink,1853.3,11.85,0.54,8.1
753.0,Puravankara,92.35,32.94,5.41,8.65
754.0,Ugro Capital,236.25,54.88,0.0,10.93
755.0,Bhansali Engg.,131.5,16.06,1.52,19.14
756.0,Fino Payments,260.25,33.28,0.0,9.14
757.0,Amrutanjan Healt,738.25,54.18,0.62,19.27
758.0,Dollar Industrie,380.1,37.02,0.79,9.65
759.0,Banco Products,301.35,9.15,6.64,25.71
760.0,Rupa & Co,269.3,39.86,1.11,7.59
761.0,Vishnu Chemicals,356.9,15.61,0.11,30.49
762.0,Sundaram Fin.Hol,95.95,8.97,3.13,1.43
763.0,Pilani Invest.,1922.3,8.65,0.78,2.26
764.0,Paushak,6890.65,40.28,0.17,21.48
765.0,DDev Plastiks,204.2,20.3,0.11,32.39
766.0,Agro Tech Foods.,856.75,135.14,0.35,4.55
767.0,CARE Ratings,702.3,24.97,2.42,18.83
768.0,Thangamayil Jew.,1519.05,26.14,0.79,16.82
769.0,Sanghvi Movers,480.95,18.59,0.21,17.2
770.0,Yasho Industries,1822.95,32.33,0.03,22.34
771.0,Aptech,501.1,30.67,0.86,34.82
772.0,Federal-Mogul Go,372.2,20.53,0.0,15.48
773.0,Huhtamaki India,273.1,34.08,0.73,7.37
774.0,Wendt India,10310.85,54.32,0.78,28.82
775.0,ADF Foods,936.2,36.83,0.53,18.85
776.0,Vadilal Inds.,2860.4,21.36,0.04,25.0
777.0,Indostar Capital,151.0,9.13,0.0,9.14
778.0,Garware Hi Tech,882.35,12.34,1.13,12.11
779.0,Thirumalai Chem.,200.2,22.84,0.75,10.86
780.0,Orchid Pharma,499.9,147.0,0.0,4.99
781.0,Butterfly Gan Ap,1135.5,39.34,0.26,30.26
782.0,Som Distilleries,261.9,33.56,0.1,15.65
783.0,Savita Oil Tech,290.05,9.11,1.72,24.04
784.0,Novartis India,810.55,19.86,1.23,15.1
785.0,Vidhi Specialty,400.25,52.8,0.2,17.58
786.0,Supriya Lifesci.,247.85,22.2,0.24,18.54
787.0,Lumax Industries,2120.25,18.56,1.27,19.29
788.0,Accelya Solution,1323.95,17.76,4.68,37.7
789.0,Wheels India,813.3,30.03,0.86,11.97
790.0,Repco Home Fin,312.15,6.6,0.8,9.04
791.0,Heritage Foods,210.25,33.65,1.19,10.93
792.0,Aditya Vision,1619.25,30.37,0.37,26.46
793.0,Ashiana Housing,189.65,69.62,0.47,4.03
794.0,Tanfac Inds.,1930.2,34.3,0.47,48.02
795.0,Cosmo First,705.35,7.88,3.31,16.95
796.0,Sandhar Tech,316.6,25.86,0.71,8.97
797.0,Sirca Paints,345.7,41.09,0.29,25.33
798.0,India Glycols,611.9,18.26,1.23,8.09
799.0,NACL Industries,95.25,19.96,0.58,15.17
800.0,Carysil,704.9,36.06,0.34,17.73
801.0,Arman Financial,2224.35,20.14,0.0,18.72
802.0,TARC Ltd,63.85,92.63,0.0,6.03
803.0,Styrenix Perfor.,1070.35,10.29,9.81,30.42
804.0,Sh.Global Trad.,14.71,37.07,0.68,7.14
805.0,IIFL Securities,61.05,7.47,4.91,22.97
806.0,Alembic,72.15,9.24,2.49,4.28
807.0,Panama Petrochem,304.65,7.91,2.63,34.97
808.0,AXISCADES Tech.,482.05,49.21,0.0,22.98
809.0,Suryoday Small,173.45,23.7,0.0,6.8
810.0,Krsnaa Diagnost.,585.05,28.92,0.43,11.96
811.0,Shalby,169.35,27.03,0.59,10.39
812.0,Manorama Indust.,1533.65,61.39,0.0,13.18
813.0,Hariom Pipe,661.35,39.52,0.0,17.01
814.0,Optiemus Infra.,210.5,43.15,0.71,13.49
815.0,Mukand,124.65,10.49,1.2,13.93
816.0,Thejo Engg.,1682.65,55.54,0.12,24.8
817.0,MPS,1051.0,20.84,1.9,33.81
818.0,Prataap Snacks,765.3,88.37,0.07,1.12
819.0,Dhampur Sugar,269.8,11.37,2.22,15.0
820.0,TTK Healthcare,1263.8,2.79,0.79,10.06
821.0,NRB Bearings,184.15,17.82,2.23,16.72
822.0,Precision Camshf,187.75,38.53,0.53,8.4
823.0,Centum Electron,1383.05,266.37,0.29,7.57
824.0,Seshasayee Paper,281.1,4.48,2.13,36.53
825.0,Tide Water Oil,1009.75,15.37,4.16,19.78
826.0,Filatex India,39.35,19.43,0.25,12.75
827.0,The Anup Enginee,1757.4,33.85,0.46,16.5
828.0,Indian Metals,320.85,7.45,3.12,18.05
829.0,Skipper,168.35,52.84,0.06,11.78
830.0,Vakrangee,16.3,1727.01,0.31,0.29
831.0,Parag Milk Foods,147.0,32.4,0.0,8.57
832.0,SJS Enterprises,566.0,29.3,0.0,19.78
833.0,Rama Steel Tubes,36.9,64.45,0.05,15.59
834.0,Monte Carlo Fas.,828.85,12.95,2.41,20.18
835.0,KDDL Ltd,1367.7,32.0,0.22,21.58
836.0,GNA Axles,794.85,13.1,0.63,21.61
837.0,Artemis Medicare,125.2,42.86,0.36,11.65
838.0,Dwarikesh Sugar,90.25,16.18,2.22,15.46
839.0,Bharat Bijlee,3002.1,20.39,0.67,8.68
